Código_estación;nombre_estación;Latitud;Longitud
1054;Ronda de la Comunicación;40,51572201;-3,662893708
1051;Tres Olivos;40,50048278;-3,694306674
1052;Montecarmelo;40,50529602;-3,695944949
1106;La Peseta;40,36318296;-3,757339908
1053;Las Tablas;40,50832111;-3,66943796
1102;Abrantes;40,38060655;-3,728177916
1103;Pan Bendito;40,37591565;-3,734394476
1104;San Francisco;40,37373976;-3,739724502
1105;Carabanchel Alto;40,37202541;-3,751846597
