route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8__313___,CRTM,313,MADRID (Conde de Casal)-VALDILECHA,,3,https://www.crtm.es/8__313___.aspx,8EBF42,FFFFFF
8__320___,CRTM,320,ARGANDA DEL REY-ALCALÁ DE HENARES,,3,https://www.crtm.es/8__320___.aspx,8EBF42,FFFFFF
8__321___,CRTM,321,ARGANDA (Hospital)-VILLAR DEL OLMO,,3,https://www.crtm.es/8__321___.aspx,8EBF42,FFFFFF
8__322___,CRTM,322,ARGANDA DEL REY (Hospital)-AMBITE,,3,https://www.crtm.es/8__322___.aspx,8EBF42,FFFFFF
8__326___,CRTM,326,MADRID (Conde de Casal)-MONDEJAR-DRIEBES,,3,https://www.crtm.es/8__326___.aspx,8EBF42,FFFFFF
8__330___,CRTM,330,RIVAS-ARGANDA (Hospital)-MORATA,,3,https://www.crtm.es/8__330___.aspx,8EBF42,FFFFFF
8__331___,CRTM,331,MADRID (Conde de Casal)-RIVAS (Sta. Mónica)-RIVAS FUTURA,,3,https://www.crtm.es/8__331___.aspx,8EBF42,FFFFFF
8__332___,CRTM,332,MADRID (Conde de Casal)-RIVAS PUEBLO,,3,https://www.crtm.es/8__332___.aspx,8EBF42,FFFFFF
8__333___,CRTM,333,Madrid (Conde de Casal) - Rivas (Bellavista),,3,https://www.crtm.es/8__333___.aspx,8EBF42,FFFFFF
8__334___,CRTM,334,MADRID (Conde de Casal) - RIVAS FUTURA,,3,https://www.crtm.es/8__334___.aspx,8EBF42,FFFFFF
8__336___,CRTM,336,MADRID (Conde de Casal)-MORATA DE TAJUÑA,,3,https://www.crtm.es/8__336___.aspx,8EBF42,FFFFFF
8__337___,CRTM,337,MADRID (Conde de Casal)-CHINCHÓN-VALDELAGUNA,,3,https://www.crtm.es/8__337___.aspx,8EBF42,FFFFFF
8__339___,CRTM,339,MADRID (Conde de Casal)-VALDEMINGÓMEZ,,3,https://www.crtm.es/8__339___.aspx,8EBF42,FFFFFF
8__340___,CRTM,340,TORREJÓN DE ARDOZ-MEJORADA DEL CAMPO,,3,https://www.crtm.es/8__340___.aspx,8EBF42,FFFFFF
8__341___,CRTM,341,MADRID (Conde de Casal)-MEJORADA-VELILLA,,3,https://www.crtm.es/8__341___.aspx,8EBF42,FFFFFF
8__350_A__,CRTM,350A,ARGANDA (Hospital)-ESTREMERA,,3,https://www.crtm.es/8__350_A__.aspx,8EBF42,FFFFFF
8__350_B__,CRTM,350B,ARGANDA (Hospital) - VILLAREJO - VILLAMANRIQUE DE TAJO,,3,https://www.crtm.es/8__350_B__.aspx,8EBF42,FFFFFF
8__350_C__,CRTM,350C,ARGANDA (Hospital) - BELMONTE,,3,https://www.crtm.es/8__350_C__.aspx,8EBF42,FFFFFF
8__351___,CRTM,351,MADRID (Rda. Atocha)-ESTREMERA-BARAJAS DE MELO,,3,https://www.crtm.es/8__351___.aspx,8EBF42,FFFFFF
8__352___,CRTM,352,MADRID (Rda. Atocha)-FUENTIDUEÑA-TARANCÓN,,3,https://www.crtm.es/8__352___.aspx,8EBF42,FFFFFF
8__353___,CRTM,353,MADRID (Rda. Atocha)-VILLAMANRIQUE-STA.CRUZ,,3,https://www.crtm.es/8__353___.aspx,8EBF42,FFFFFF
8__355___,CRTM,355,FUENTIDUEÑA DE TAJO-CENTRO PENITENCIARIO-ESTREMERA,,3,https://www.crtm.es/8__355___.aspx,8EBF42,FFFFFF
8__410___,CRTM,410,ARANJUEZ-CIEMPOZUELOS-SAN MARTÍN DE LA VEGA,,3,https://www.crtm.es/8__410___.aspx,8EBF42,FFFFFF
8__411___,CRTM,411,MADRID (Legazpi) - PERALES DEL RÍO,,3,https://www.crtm.es/8__411___.aspx,8EBF42,FFFFFF
8__412___,CRTM,412,MADRID (Villaverde Bajo-Cruce)-SAN MARTÍN DE LA VEGA,,3,https://www.crtm.es/8__412___.aspx,8EBF42,FFFFFF
8__413___,CRTM,413,PINTO (FFCC)-SAN MARTÍN DE LA VEGA,,3,https://www.crtm.es/8__413___.aspx,8EBF42,FFFFFF
8__414___,CRTM,414,MADRID (Villaverde Bajo-Cruce)-C.P. MADRID III,,3,https://www.crtm.es/8__414___.aspx,8EBF42,FFFFFF
8__415___,CRTM,415,MADRID (Villaverde Bajo-Cruce)-VILLACONEJOS,,3,https://www.crtm.es/8__415___.aspx,8EBF42,FFFFFF
