cod_est;nom_est;Latitud;Longitud;edad_media;hog_tot;pob_tot;pers_hog;renta_pers;renta_hog;%pob_ext;%pob_15;%pob_1664;%pob_65;densidad;%hog_1;%hog_2;%hog_3;%hog_4;%hog_5;%hog_6;%hog_7;%hog_8;%hog_9;%hog_10;%hog_11;%hog_12;%hog_13;%hog_14;%hog_15;%hog_16;%hog_17;%hog_18;%hog_19;%hog_20;%hog_21;%hog_22;Eventodromo;conducta;por_pobact;nu_lineas;nu_lin_cerc;nu_businter;in_bus_lr;in_renfe_lr;in_oficinattp;in_eventos;in_parkdisgra;in_parkdispag
113;Tirso de Molina;40,41237233;-3,704292531;42,58;16362;30941;1,9;17438,21;35340,17;0,3335;0,0685;0,7575;0,1349;412,86;0,1839;0,2085;0,0583;0,0339;0,0114;0,003;0,1895;0,063;0,0271;0,014;0,0021;0,025;0,0053;0,0021;0,0577;0,0114;0,0019;0,0007;0,0255;0,0353;0,0008;0,0003;Turismo;finvol;0,5016;1;0;0;0;0;0;0;0;0
114;Antón Martín;40,41244945;-3,699477459;42,94;15583;28820;1,8;18045;35994,67;0,3317;0,0651;0,7679;0,1494;386,3;0,1937;0,214;0,0629;0,0363;0,0096;0,0025;0,1878;0,0695;0,0275;0,0131;0,002;0,026;0,0053;0,0021;0,0546;0,0142;0,0026;0,0006;0,0254;0,0312;0,001;0,0004;Turismo;finest;0,5004;1;0;0;0;0;0;0;0;0
115;Estación del Arte;40,40908431;-3,692432724;45,9;6615;12711;1,9;21281,72;45182,56;0,2112;0,0943;0,6632;0,2153;168,25;0,1357;0,1427;0,093;0,0416;0,0125;0,0029;0,1426;0,1145;0,0386;0,026;0,0088;0,0364;0,0092;0,0054;0,0697;0,0251;0,0034;0,001;0,0282;0,0341;0,0003;0,0012;Turismo;finvol;0,4534;1;0;0;0;0;0;0;0;0
116;Atocha-Renfe;40,40696237;-3,689091514;45,58;4674;9680;2,1;20235,5;45274,07;0,1773;0,1133;0,6658;0,2084;126,8;0,1183;0,1219;0,0921;0,035;0,0161;0,0045;0,1483;0,1152;0,0483;0,0365;0,011;0,0428;0,0116;0,0064;0,0731;0,0327;0,0048;0,0013;0,029;0,0373;0,0004;0,0007;Turismo;finvol;0,4439;1;9;0;0;1;0;0;0;1
117;Menéndez Pelayo;40,40427503;-3,680865034;48,01;12126;26637;2,2;22875,37;51654,28;0,1207;0,1107;0,6481;0,2226;345,25;0,1062;0,0929;0,1049;0,0312;0,0162;0,0051;0,1453;0,1332;0,0491;0,0411;0,0092;0,0526;0,0125;0,0051;0,0706;0,0427;0,0039;0,0011;0,028;0,0298;0,0003;0,0003;;labest;0,4048;1;0;0;0;0;0;0;0;0
118;Pacífico;40,4012613;-3,674858463;46,73;11843;26276;2,2;21994,33;50217,08;0,1034;0,1198;0,6533;0,2171;342,99;0,1046;0,0933;0,1003;0,0272;0,017;0,0047;0,1469;0,1327;0,056;0,0463;0,0091;0,0562;0,0157;0,0054;0,0702;0,0461;0,0042;0,0018;0,0262;0,0257;0,0004;0,0003;;labest;0,4113;2;0;0;0;0;1;0;0;0
119;Puente de Vallecas;40,39835567;-3,669240712;42,64;11613;26870;2,3;15441,25;37219,73;0,2433;0,1246;0,6997;0,1539;359,6;0,118;0,1231;0,0749;0,0264;0,0204;0,0039;0,1646;0,0902;0,0514;0,0362;0,0082;0,0473;0,0157;0,0059;0,0679;0,0287;0,0061;0,0024;0,0357;0,0499;0,0007;0,0007;;finest;0,4546;1;0;0;0;0;0;0;0;0
120;Nueva Numancia;40,39584173;-3,66442679;41;13303;33449;2,5;10482,1;27903,32;0,3716;0,1259;0,7233;0,1288;455,43;0,1037;0,1143;0,0823;0,0276;0,0207;0,0026;0,1447;0,0823;0,043;0,0255;0,0075;0,0489;0,0187;0,0073;0,0744;0,0263;0,0069;0,0046;0,047;0,0875;0,0011;0,0009;Estadio de Vallecas;finvol;0,4671;1;0;0;0;0;0;1;0;0
121;Portazgo;40,39282728;-3,658813016;42,8;8670;22264;2,6;11342,34;30375,63;0,2968;0,1227;0,6768;0,1836;298,8;0,0805;0,0852;0,1079;0,0317;0,02;0,0031;0,1277;0,1285;0,0388;0,0257;0,0068;0,0542;0,0173;0,0079;0,0779;0,0311;0,0078;0,0054;0,0423;0,0812;0,0012;0,001;Estadio de Vallecas;evento;0,4443;1;0;0;0;0;0;1;0;0
122;Buenos Aires;40,39161351;-3,653987948;44,51;5207;12909;2,5;11966,81;30809,13;0,2167;0,1161;0,6341;0,2007;170,86;0,0757;0,0755;0,1097;0,0329;0,0188;0,0027;0,122;0,1377;0,0431;0,0268;0,0065;0,0575;0,0145;0,0072;0,077;0,029;0,0055;0,0036;0,0392;0,0647;0,0008;0,0007;Estadio de Vallecas;finest;0,43;1;0;0;0;0;0;1;0;0
123;Alto del Arenal;40,38984935;-3,645435655;44,73;8898;22558;2,5;11652,77;30200,6;0,2105;0,1267;0,6594;0,2022;298,97;0,072;0,0759;0,1095;0,0325;0,021;0,0025;0,1195;0,1412;0,0473;0,0335;0,0077;0,0652;0,0174;0,0069;0,0899;0,0334;0,0064;0,0031;0,0453;0,0567;0,0009;0,0005;;finest;0,4246;1;0;0;0;0;0;0;0;0
124;Miguel Hernández;40,38735517;-3,639947074;45,13;8509;22014;2,6;11837,35;31224,39;0,1808;0,1181;0,6637;0,2024;289,1;0,0661;0,0791;0,0935;0,0309;0,0181;0,0024;0,1232;0,143;0,0464;0,0369;0,0064;0,0773;0,0193;0,006;0,0857;0,0432;0,0072;0,0033;0,0427;0,0526;0,0005;0,0004;;finest;0,4244;1;0;0;0;0;0;0;0;1
125;Sierra de Guadalupe;40,38229853;-3,624753882;43,02;4243;10989;2,6;12131,95;32686,89;0,1978;0,118;0,684;0,1726;145,69;0,0717;0,0873;0,0741;0,0262;0,0213;0,0024;0,1281;0,1195;0,0487;0,035;0,0072;0,08;0,0206;0,0067;0,0749;0,0568;0,0062;0,0034;0,0427;0,0615;0,0004;0,0001;;labest;0,439;1;3;0;0;0;0;0;0;1
126;Villa de Vallecas;40,37946317;-3,621334218;43,56;8025;20459;2,5;11287,93;29844,04;0,222;0,1297;0,6799;0,1829;273,64;0,0697;0,0814;0,0966;0,0304;0,0211;0,0025;0,125;0,1261;0,0515;0,0361;0,0088;0,067;0,0217;0,0086;0,0796;0,0443;0,0077;0,0032;0,0447;0,0656;0,0007;0,0002;;finest;0,4273;1;0;0;0;0;0;0;0;0
127;Congosto;40,37222878;-3,618784041;42,8;6414;16174;2,5;13276,2;34164,51;0,131;0,1504;0,6764;0,1592;210,01;0,0893;0,092;0,0712;0,0227;0,0268;0,0038;0,141;0,1122;0,0743;0,0626;0,0095;0,0699;0,0275;0,0054;0,0669;0,0431;0,0054;0,0033;0,0266;0,0317;0,0003;0,0003;;labest;0,4396;1;0;0;0;0;0;0;0;0
128;La Gavia;40,36926699;-3,612508542;36,7;3489;8872;2,5;16492,26;42518,2;0,112;0,2349;0,6846;0,0752;115,56;0,1138;0,1282;0,0263;0,0113;0,0371;0,0095;0,1502;0,0516;0,1167;0,1306;0,0177;0,0423;0,0282;0,0071;0,0462;0,028;0,004;0,0032;0,0213;0,0207;0,0003;0,0004;;labest;0,438;1;0;0;0;0;0;0;0;0
129;Las Suertes;40,36325263;-3,599535258;36,05;4498;10915;2,4;15046,5;39053,26;0,1781;0,2179;0,7265;0,0558;148,37;0,1092;0,1236;0,0216;0,0106;0,0411;0,0066;0,175;0,0383;0,1097;0,0986;0,022;0,048;0,0293;0,01;0,0504;0,0384;0,007;0,0029;0,0242;0,0324;0;0,0012;;finest;0,4631;1;0;0;0;0;0;0;0;0
130;Valdecarros;40,36008237;-3,593187717;35,15;3867;8522;2,2;15482,19;37564,12;0,1795;0,2287;0,7255;0,0463;119,19;0,1199;0,1375;0,0167;0,0087;0,0414;0,0071;0,1871;0,0295;0,1106;0,0991;0,0249;0,0405;0,0286;0,0101;0,0452;0,0302;0,0068;0,0035;0,0208;0,0307;0,0001;0,0017;;labest;0,4645;1;0;0;0;0;0;0;0;0
151;Chamartín;40,47162362;-3,682650474;45,01;3021;7154;2,4;26574,33;63872,69;0,1371;0,1311;0,6466;0,2079;93,42;0,1144;0,105;0,0876;0,033;0,0125;0,006;0,1299;0,1245;0,0419;0,0453;0,0253;0,046;0,0097;0,0061;0,0778;0,0409;0,0067;0,0002;0,0309;0,0408;0,0007;0,0004;;finvol;0,4073;2;9;2;0;1;0;0;0;0
152;Bambú;40,4768502;-3,676285233;43,91;2108;5769;2,7;28654,28;79865,69;0,1184;0,1327;0,6539;0,2139;74,44;0,1051;0,0964;0,0815;0,03;0,0126;0,0052;0,1189;0,1373;0,0434;0,0438;0,028;0,0595;0,0106;0,0075;0,0854;0,0483;0,0086;0,0018;0,0312;0,0438;0,0007;0,0011;;labest;0,3866;1;0;0;0;0;0;0;0;0
153;Pinar de Chamartín;40,48019211;-3,666836019;45,51;6765;17312;2,6;24627,4;64592,72;0,0834;0,133;0,638;0,2266;225,18;0,0686;0,0672;0,1033;0,0318;0,017;0,0064;0,104;0,1558;0,0454;0,0494;0,021;0,066;0,0165;0,0082;0,0787;0,0639;0,0096;0,0026;0,0318;0,049;0,0003;0,0009;;labest;0,4037;3;0;0;0;0;0;0;0;0
201;Ventas;40,43113544;-3,663372586;46,51;8637;19024;2,2;21838;49584,76;0,1499;0,1001;0,6337;0,2352;249,06;0,1161;0,0968;0,1163;0,0365;0,0139;0,0021;0,1295;0,1298;0,044;0,0367;0,0068;0,0466;0,0123;0,0029;0,0734;0,0358;0,0036;0,0005;0,0309;0,0334;0,001;0,0002;Las Ventas;evento;0,4128;2;0;0;0;0;0;1;0;0
202;Manuel Becerra;40,42789018;-3,669195877;45,9;14450;30839;2,1;23898,89;53942,78;0,1731;0,0982;0,6232;0,223;404,83;0,1332;0,1019;0,1111;0,0356;0,0128;0,0029;0,129;0,1199;0,0375;0,0318;0,0089;0,0384;0,0095;0,0043;0,0726;0,0275;0,003;0,0011;0,0297;0,0329;0,0004;0,0002;LVES/PADE;labest;0,4186;2;0;0;0;0;0;1;0;0
203;Goya;40,42480428;-3,675726208;46,22;14047;29647;2,1;27494,89;62669,14;0,1881;0,0983;0,6283;0,2363;388,41;0,1396;0,1074;0,1083;0,0391;0,0134;0,0028;0,1246;0,1308;0,0336;0,0282;0,009;0,0389;0,0094;0,0041;0,0734;0,0269;0,0043;0,0014;0,0319;0,0349;0,0002;0,0006;Movistar Arena;evento;0,4172;2;0;0;0;0;0;1;0;0
204;Príncipe de Vergara;40,4227782;-3,680292298;46,56;9915;21290;2,1;30392,21;72038,71;0,1914;0,1037;0,6295;0,2437;277;0,1296;0,109;0,1081;0,0393;0,0132;0,0036;0,1234;0,1321;0,0363;0,0278;0,0108;0,039;0,0086;0,0044;0,0825;0,0272;0,0051;0,0014;0,0343;0,04;0,0004;0,001;Movistar Arena;finest;0,4119;2;0;0;0;0;0;1;0;0
205;Retiro;40,42059346;-3,685748127;47,05;3260;7252;2,2;33930,63;92500,21;0,1975;0,1062;0,6434;0,2509;94,51;0,1111;0,1149;0,1086;0,045;0,0128;0,0044;0,1184;0,1391;0,0325;0,0321;0,0115;0,0433;0,0086;0,0046;0,0919;0,0316;0,0052;0,0012;0,0356;0,0463;0,0007;0,0012;;finvol;0,4136;1;0;0;0;0;0;0;0;0
206;Banco de España;40,41924795;-3,694081714;44,58;4773;9359;2;29140,18;64459,56;0,2538;0,0794;0,7225;0,176;122,59;0,1629;0,1904;0,0683;0,0422;0,0115;0,0045;0,1543;0,0949;0,0286;0,0216;0,0067;0,033;0,0076;0,0035;0,0556;0,0259;0,0018;0;0,0236;0,0385;0,0012;0,0013;;finest;0,4763;1;0;0;0;0;0;0;0;0
207;Sevilla;40,41803932;-3,69920248;43,53;7445;13666;1,8;21882,36;43981,02;0,3361;0,0592;0,7644;0,155;181,02;0,1861;0,2265;0,0597;0,0364;0,0074;0,003;0,1812;0,0719;0,0264;0,0109;0,0025;0,0249;0,0058;0,002;0,0519;0,0161;0,0013;0,0004;0,0287;0,0337;0,0012;0,0005;;finest;0,5008;1;0;0;0;0;0;0;0;0
209;Ópera;40,41815986;-3,709342789;44,94;7485;14172;1,9;22430,73;45785,15;0,2892;0,0675;0,7369;0,1926;186,72;0,162;0,1981;0,0814;0,0445;0,0085;0,0038;0,1751;0,0895;0,0269;0,0158;0,003;0,0305;0,0072;0,002;0,0646;0,014;0,0016;0,001;0,0298;0,036;0,0006;0,001;;finvol;0,4752;3;0;0;0;0;0;0;0;0
210;Santo Domingo;40,42146332;-3,707895489;43,74;10651;19828;1,9;20953,69;42076,83;0,2989;0,0624;0,7462;0,1658;261,77;0,1714;0,2084;0,0726;0,0392;0,0079;0,0031;0,1827;0,0746;0,023;0,0138;0,0024;0,0284;0,006;0,0022;0,0569;0,0144;0,0015;0,0008;0,0283;0,0353;0,0008;0,0006;;finest;0,4935;1;0;0;0;0;0;0;0;0
211;Noviciado;40,42485183;-3,707429184;43,56;15413;27850;1,8;20906,6;40615,93;0,2846;0,0664;0,763;0,1572;369,18;0,1902;0,2154;0,0713;0,0347;0,0095;0,0028;0,1911;0,0686;0,0264;0,0157;0,002;0,0273;0,005;0,002;0,0537;0,0132;0,0021;0,0005;0,0246;0,0294;0,0007;0,0004;;finest;0,4934;2;0;0;0;0;0;0;0;0
212;San Bernardo;40,42962638;-3,705794654;44,99;15481;29336;1,9;24808,88;50055,38;0,2018;0,0789;0,6777;0,1977;388,03;0,1626;0,1657;0,0935;0,0316;0,012;0,0026;0,1553;0,0963;0,0326;0,023;0,0052;0,0297;0,0065;0,0025;0,0594;0,0219;0,0036;0,0006;0,0226;0,0259;0,0007;0,0003;;labest;0,4538;2;0;0;0;0;0;0;0;0
213;Quevedo;40,43341853;-3,704332609;45,4;16783;33214;2;24392,96;51249,42;0,1702;0,0937;0,6663;0,2206;436,27;0,1581;0,1394;0,1093;0,033;0,0142;0,0031;0,1456;0,1132;0,0365;0,0297;0,007;0,0345;0,0082;0,0034;0,0633;0,0249;0,0034;0,0004;0,0261;0,0266;0,0004;0,0005;;labest;0,4321;1;0;0;0;0;0;0;0;0
214;Canal;40,43835649;-3,704226871;45,49;13071;26350;2;23846,58;50980,06;0,1429;0,0953;0,6491;0,2171;344,27;0,1503;0,13;0,1135;0,0322;0,0122;0,0035;0,1365;0,1128;0,0353;0,0316;0,0074;0,0368;0,0088;0,003;0,0651;0,0247;0,004;0,0006;0,0263;0,026;0,0002;0,0006;;labest;0,4286;2;0;0;0;0;0;0;0;0
251;La Elipa;40,42642065;-3,650925679;45,31;10352;24405;2,4;13794,23;33718,46;0,1932;0,0991;0,6422;0,2063;323,4;0,0798;0,0905;0,1034;0,0324;0,0129;0,0034;0,1244;0,1411;0,0412;0,0273;0,0035;0,0551;0,0208;0,0054;0,076;0,0341;0,0058;0,0019;0,0387;0,0494;0,0005;0,0003;;finest;0,4365;1;0;0;0;0;0;0;0;0
252;La Almudena;40,42370666;-3,639224245;44,33;4550;11380;2,5;14077,6;36437,94;0,1581;0,112;0,6379;0,243;151,19;0,0599;0,074;0,097;0,032;0,0162;0,006;0,1117;0,1807;0,0448;0,0395;0,0042;0,0682;0,0277;0,008;0,0809;0,0507;0,0057;0,0013;0,0395;0,0443;0,0007;0,0001;;finest;0,4264;1;0;0;0;0;0;0;0;0
253;Alsacia;40,41858156;-3,623180903;45,72;4712;11959;2,5;16501,56;42912,11;0,0906;0,1346;0,6748;0,1882;156,01;0,0591;0,0732;0,0841;0,0238;0,018;0,0045;0,1141;0,1367;0,0658;0,0593;0,0109;0,0805;0,0385;0,0065;0,0731;0,0748;0,0059;0,0023;0,0277;0,0379;0,0002;0,0007;;finest;0,4205;1;0;1;0;0;0;0;0;0
254;Avenida de Guadalajara;40,4223542;-3,611899064;44,34;5411;14784;2,7;16035,94;43808,01;0,0832;0,1112;0,7079;0,1614;191,54;0,0568;0,07;0,0644;0,0213;0,0172;0,0032;0,1205;0,1098;0,0541;0,0459;0,0082;0,1009;0,035;0,0045;0,0745;0,1082;0,009;0,0019;0,0287;0,0453;0,0005;0,0007;;finest;0,4522;1;0;0;0;0;0;0;0;0
255;Las Rosas;40,42375419;-3,603086987;42,66;4222;11772;2,8;19356,36;54096,13;0,059;0,1209;0,76;0,1197;150,74;0,0701;0,0733;0,0419;0,0166;0,0201;0,0043;0,1251;0,0901;0,0576;0,0636;0,0087;0,1177;0,0409;0,0044;0,0668;0,1404;0,0084;0,0011;0,0181;0,0305;0,0006;0,0004;Estadio Metropolitano;labest;0,482;1;0;0;0;0;0;1;0;0
301;Legazpi;40,39114303;-3,695153731;43,02;8487;19635;2,3;19996,32;48047,22;0,1593;0,1292;0,7066;0,1467;257,86;0,1265;0,1169;0,0692;0,0239;0,0177;0,0042;0,1687;0,0886;0,0581;0,0532;0,0072;0,0549;0,0179;0,0046;0,0588;0,0422;0,0038;0,0011;0,0268;0,0376;0,0001;0,0005;;finest;0,4499;2;0;8;0;0;0;0;0;0
302;Delicias;40,40074019;-3,693935457;45,85;15252;31752;2,1;19353,35;42081,02;0,1553;0,1039;0,6793;0,2051;415,86;0,131;0,1313;0,1;0,0312;0,016;0,0033;0,1617;0,1119;0,0456;0,0381;0,0061;0,0397;0,0114;0,0033;0,0637;0,0306;0,0042;0,0011;0,0272;0,03;0,0004;0,0007;;labest;0,4366;1;1;0;0;0;0;0;0;0
303;Palos de la Frontera;40,40302271;-3,693943015;45,92;13626;27878;2;19574,24;41859,62;0,1632;0,1037;0,6925;0,2043;366,17;0,133;0,1393;0,1002;0,0311;0,0162;0,0032;0,1664;0,1105;0,0482;0,0341;0,0073;0,038;0,0117;0,0041;0,0638;0,0296;0,0039;0,0012;0,026;0,0314;0,0005;0,0008;;finest;0,4406;1;0;0;0;0;0;0;0;0
304;Embajadores;40,40509902;-3,702457877;45,18;16087;32425;2;19066,47;39918,8;0,1905;0,0804;0,6805;0,1866;427,32;0,1491;0,1522;0,0915;0,03;0,0127;0,0029;0,1573;0,0986;0,0356;0,0213;0,0045;0,036;0,0082;0,0023;0,062;0,0247;0,0023;0,0007;0,029;0,0255;0,0003;0,0007;;finest;0,4574;2;1;0;0;0;0;0;0;0
305;Lavapiés;40,40845021;-3,700692302;42,91;18890;36108;1,9;16580,47;33627,9;0,2926;0,0756;0,7456;0,1526;483,53;0,1778;0,1996;0,0753;0,0331;0,0117;0,002;0,1776;0,0744;0,0308;0,0155;0,0038;0,0291;0,0069;0,0026;0,0581;0,0141;0,0021;0,0009;0,0255;0,0318;0,0007;0,0006;;finest;0,4942;1;0;0;0;0;0;0;0;0
307;Callao;40,42025341;-3,705737368;43,61;11167;20817;1,9;20620;41659,11;0,3305;0,0588;0,7642;0,1538;275,16;0,1765;0,2182;0,065;0,0383;0,0078;0,0031;0,1875;0,0674;0,0211;0,0111;0,0024;0,0269;0,0049;0,0023;0,0583;0,0149;0,0014;0,0008;0,03;0,0375;0,001;0,0004;;finvol;0,4981;2;0;0;0;0;0;0;0;0
308;Plaza de España;40,42388099;-3,711223119;44,01;10293;19291;1,9;22140,98;44303,64;0,2551;0,0721;0,7273;0,1811;254,58;0,1678;0,1847;0,0836;0,0397;0,0105;0,0032;0,1795;0,0874;0,0282;0,0191;0,0032;0,0304;0,0073;0,0019;0,0551;0,0181;0,002;0,001;0,0255;0,0302;0,0011;0,0009;;finvol;0,4751;3;0;0;0;0;0;0;0;0
309;Ventura Rodríguez;40,42388099;-3,711223119;44,01;10293;19291;1,9;22140,98;44303,64;0,2551;0,0721;0,7273;0,1811;254,58;0,1678;0,1847;0,0836;0,0397;0,0105;0,0032;0,1795;0,0874;0,0282;0,0191;0,0032;0,0304;0,0073;0,0019;0,0551;0,0181;0,002;0,001;0,0255;0,0302;0,0011;0,0009;;labest;0,4751;1;0;0;0;0;0;0;0;0
310;Argüelles;40,43057078;-3,716053557;46,31;12823;27298;2,1;25654,5;57394,49;0,1668;0,0894;0,6548;0,2397;355,49;0,1366;0,1282;0,1153;0,0362;0,0109;0,0027;0,1359;0,1238;0,0357;0,0287;0,0083;0,0358;0,0083;0,003;0,0747;0,0267;0,0042;0,0005;0,0317;0,0347;0,0017;0,0004;;labvol;0,4224;3;0;0;0;0;0;0;0;0
311;Moncloa;40,43453411;-3,719101492;46,65;8574;18622;2,2;24376,15;55004,96;0,1706;0,0776;0,6509;0,2425;242,07;0,11;0,1074;0,1155;0,04;0,013;0,0018;0,1105;0,1575;0,0331;0,0279;0,0062;0,0446;0,0103;0,0035;0,0723;0,0436;0,0042;0,0011;0,0276;0,035;0,0057;0,0001;;labvol;0,4153;2;0;30;1;0;1;0;0;0
351;Almendrales;40,38395874;-3,698155483;41,68;7242;19009;2,6;13091,57;35873,46;0,237;0,1536;0,701;0,1399;253,25;0,0875;0,1028;0,0804;0,0243;0,0237;0,0058;0,1367;0,0937;0,0673;0,057;0,0093;0,0556;0,0218;0,0064;0,0656;0,042;0,008;0,0033;0,0398;0,0625;0,0005;0,0006;;finest;0,4486;1;0;7;0;0;0;0;0;0
352;Hospital 12 de Octubre;40,37542327;-3,695857152;41,7;3061;8185;2,7;11830,33;32469,36;0,2092;0,1543;0,7291;0,0994;107,77;0,1078;0,1543;0,0413;0,0157;0,025;0,0057;0,1537;0,0641;0,076;0,0526;0,0086;0,0572;0,0268;0,0062;0,0678;0,0309;0,0056;0,0019;0,0358;0,0443;0,0002;0,0014;;labest;0,4411;1;1;7;0;0;0;0;0;0
353;San Fermín-Orcasur;40,36979805;-3,69436844;42,29;5301;14579;2,8;11043,82;31232,23;0,2242;0,1394;0,7148;0,1408;193,47;0,0677;0,0849;0,0673;0,0264;0,0214;0,0035;0,1279;0,1031;0,0523;0,0361;0,0109;0,0757;0,0302;0,0093;0,0852;0,0551;0,0094;0,0049;0,0499;0,0715;0,0008;0,0018;;finest;0,4466;1;0;7;0;0;0;1;0;0
