cod_est,nombre_est,Densidad,Edad_Promedio,POB_TOT,POB_men15,POB_16_64,POB_mas64,POB_esp,POB_ext,POB_ACT
"906",Pío XII,3605.87284225,44.0618055273333,"11950","2019","7478","2453","10503","1447","4725"
"213",Quevedo,20131.61103533,45.4736504802273,"34718","3290","23736","7692","28603","6115","15001"
"506",Quintana,16669.98159318,45.0366162041667,"34473","3560","23884","7029","25633","8840","15101"
"617",República Argentina,1781.4887525,44.08890583,"7087","973","4627","1487","6037","1050","2925"
"205",Retiro,1679.27415816,46.869031457,"7392","755","4836","1801","5721","1671","3057"
"1054",Ronda de la Comunicación,55.7137159,42.2807582166667,"1241","355","829","57","1069","172","523"
"511",Rubén Darío,5455.43141957,45.9907825627273,"13511","1439","8847","3225","11069","2442","5589"
"107",Ríos Rosas,12629.98221488,45.8375502209375,"24139","2392","16087","5660","20500","3639","10169"
"212",San Bernardo,18220.33449906,44.9304158207143,"31955","2590","22941","6424","25051","6904","14502"
"702",San Blas,6824.88816184,44.5143403013043,"19215","2532","13153","3530","14731","4484","8314"
"921",San Cipriano,6815.79437508,44.1652603540909,"21424","2949","14440","4035","16909","4515","9128"
"356",San Cristóbal,4884.26695168,38.288673564,"10843","1925","7824","1094","6395","4448","4946"
"353",San Fermín-Orcasur,3428.69157336,41.8515773073333,"15295","2102","10800","2393","11679","3616","6830"
"1104",San Francisco,5758.98529152,42.3989534865,"16702","2700","11619","2383","12449","4253","7344"
"419",San Lorenzo,4509.76731719,48.0852273173684,"15149","1595","8931","4623","13092","2057","5644"
"1006",Santiago Bernabéu,5156.16185888,45.8171339404762,"12700","1630","8093","2977","11372","1328","5111"
"210",Santo Domingo,8798.17616878,43.958977012,"21254","1314","16589","3351","14644","6610","10488"
"406",Serrano,4049.88015088,46.3640869238095,"13050","1302","8659","3089","9996","3054","5470"
"207",Sevilla,5528.177381,43.739527817619,"14777","863","11708","2206","9546","5231","7400"
"125",Sierra de Guadalupe,5386.76820397,42.47737464,"12201","1658","8475","2068","9448","2753","5356"
"703",Simancas,10312.81837461,43.7273673566667,"23207","3070","16212","3925","16777","6430","10245"
"112",Sol,7900.03082425,43.8790614985185,"16460","1006","12938","2516","10588","5872","8175"
"503",Suanzes,717.15349835,45.5011823185714,"4527","489","3221","817","3944","583","2036"
"612",Sáinz de Baranda,9401.99524696,48.1705811569231,"19850","2590","11663","5597","18192","1658","7370"
"103",Tetuán,11437.40644686,44.7042363935484,"28467","2898","20227","5342","21337","7130","12788"
"113",Tirso de Molina,18758.71997323,43.129811137,"33550","2463","26616","4471","21847","11703","16830"
"502",Torre Arias,2087.83808362,46.5648009233333,"7242","863","4591","1788","5687","1555","2901"
"1051",Tres Olivos,1164.51398259,39.7478782255556,"5930","1025","4061","844","5453","477","2566"
"110",Tribunal,15856.81586398,44.1412603668421,"31174","2112","24194","4868","22113","9061","15297"
"522",Urgel,9473.48799078,43.6335156369231,"23629","2767","16950","3912","16924","6705","10717"
