cod_est,nombre_est,Densidad,Edad_Promedio,POB_TOT,POB_men15,POB_16_64,POB_mas64,POB_esp,POB_ext,POB_ACT
"1102",Abrantes,10967.44257692,43.3606490484,"23831","3447",0,"4502","17294","6537","9993"
"519",Acacias,15648.96773659,45.4203950528125,"30021","3023",0,"6110","26497","3524","13144"
"808",Aeropuerto T-4,0.64132686,41.99526316,"50","7",0,"7","39","11","22"
"806",Aeropuerto T1-T2-T3,135.64913127,43.047365445,"72","9",0,"11","57","15","32"
"552",Alameda de Osuna,2430.88813479,45.87383613,"11732","1828",0,"3285","11006","726","4162"
"413",Alfonso XIII,9838.41639637,46.0377193466667,"21894","2705",0,"5384","19843","2051","8686"
"351",Almendrales,6701.2615375,41.2035392655,"18596","2827",0,"2898","13708","4888","8098"
"712",Alonso Cano,15222.74706368,45.7018710483784,"28233","3078",0,"6237","24503","3730","11901"
"404",Alonso Martínez,6945.87606679,45.0562734982609,"17304","1640",0,"3507","14468","2836","7648"
"253",Alsacia,3359.22544517,46.418225275625,"11536","1525",0,"2452","10521","1015","4754"
"627",Alto de Extremadura,8591.05927421,44.9044215583333,"16919","1975",0,"3494","13431","3488","7202"
"123",Alto del Arenal,8514.24546967,44.9784563588,"23103","3017",0,"4783","19146","3957","9626"
"527",Aluche,7564.19403061,48.1384758930435,"13415","1463",0,"3636","10925","2490","5228"
"105",Alvarado,18233.45768223,44.0604496823077,"36001","3948",0,"6540","27253","8748","16057"
"718",Antonio Machado,6927.2537351,45.9473121769565,"18493","2446",0,"4513","16753","1740","7258"
"114",Antón Martín,16780.86257519,43.3217901740541,"29682","2279",0,"4048","20901","8781","14697"
"608",Arganzuela-Planetario,5359.16608316,40.597842015,"15164","2895",0,"1708","14160","1004","6647"
"310",Argüelles,14556.47752062,46.5432638377778,"28054","2748",0,"6853","24245","3809","11615"
"722",Arroyofresno,714.74051211,38.9636842133333,"4263","834",0,"469","4091","172","1863"
"917",Artilleros,8999.33941773,48.8238317133333,"21752","2489",0,"6261","19117","2635","8174"
"415",Arturo Soria,1908.14938876,45.394945485,"9977","1524",0,"2350","8777","1200","3838"
"705",Ascao,15991.38964843,45.0281297859459,"33340","4049",0,"6912","25839","7501","14082"
"116",Atocha-Renfe,6276.02107939,46.3966007727778,"10140","965",0,"2100","8414","1726","4449"
"411",Avenida de América,14507.9109734,45.3933034981081,"25611","2759",0,"5705","21720","3891","10787"
"254",Avenida de Guadalajara,4186.33434477,42.6479572533333,"15646","2436",0,"2376","14507","1139","6818"
"414",Avenida de La Paz,2602.37991027,45.538294986875,"11224","1705",0,"2472","10230","994","4431"
"720",Avenida de la Ilustración,12951.03396033,47.7840626928125,"23982","2879",0,"6583","21486","2496","9133"
"1018",Aviación Española,3842.55590159,47.3744699886667,"8258","991",0,"2182","6805","1453","3195"
"152",Bambú,1430.86411929,43.4461780688889,"5758","900",0,"1185","5448","310","2310"
"206",Banco de España,3507.4325702,45.0338475626316,"9503","822",0,"1550","7499","2004","4484"
"807",Barajas,1508.59727364,41.6800995654545,"7318","1078",0,"1101","6248","1070","3233"
"707",Barrio de la Concepción,15505.96501048,45.6092185016216,"32758","3696",0,"6902","25432","7326","13944"
"902",Barrio del Pilar,13116.83795787,48.8258892635484,"22786","2239",0,"7399","20575","2211","8268"
"1014",Batán,4024.05986732,46.9678360213333,"10124","1183",0,"2536","8273","1851","4028"
"1002",Begoña,1574.78410583,46.0912018154545,"5199","576",0,"1209","4328","871","2144"
"109",Bilbao,15491.90224774,44.9296409186842,"29284","2557",0,"5650","24141","5143","13259"
"122",Buenos Aires,5991.6674489,44.9099660914286,"14236","1840",0,"2876","11407","2829","5986"
"307",Callao,8708.85193829,43.9298008014815,"21175","1474",0,"3264","15540","5635","10340"
"529",Campamento,6612.04292969,47.2360709664,"18530","2285",0,"4770","14658","3872","7219"
"214",Canal,15999.11823827,45.7844159863889,"28043","2984",0,"6265","24585","3458","11820"
"417",Canillas,5896.06218213,46.992062903913,"17646","2005",0,"4606","16371","1275","6940"
"501",Canillejas,3233.52893042,44.713651006,"9246","1179",0,"2103","7831","1415","3751"
"525",Carabanchel,11151.40568059,45.9147159657143,"24774","3091",0,"5207","18231","6543","10368"
"1105",Carabanchel Alto,3725.52566733,45.0516000646667,"13464","1850",0,"2883","10429","3035","5493"
"602",Carpetana,12378.26425877,44.352241666875,"28523","3877",0,"5607","20717","7806","11979"
"709",Cartagena,11866.63170501,45.5849088414286,"26649","2773",0,"5937","22856","3793","11288"
"530",Casa de Campo,1097.93057138,47.6726727914286,"4343","506",0,"1068","3773","570","1742"
"151",Chamartín,2690.6824937,45.8557338,"7363","994",0,"1695","6606","757","2938"
"513",Chueca,7820.18961828,43.7872619083333,"20625","1539",0,"3011","15578","5047","10115"
"504",Ciudad Lineal,8986.64777504,45.530425717037,"19277","2133",0,"4214","15459","3818","8133"
"622",Ciudad Universitaria,1.86504061,43.43871866,"145","10",0,"29","109","36","66"
"354",Ciudad de los Ángeles,7524.44529462,45.5582402983333,"16976","2045",0,"3652","14044","2932","7097"
"802",Colombia,6809.62866195,45.2831672879167,"20488","2949",0,"4896","18681","1807","7953"
"1016",Colonia Jardín,3123.92226232,45.3309477592857,"12956","1732",0,"2701","9660","3296","5364"
"405",Colón,3372.83883612,45.6831249744444,"9463","986",0,"2002","7774","1689","4071"
"908",Concha Espina,5764.1782104,45.9404499615,"15336","2066",0,"3682","13912","1424","6030"
"611",Conde de Casal,9418.71457854,47.2273143622222,"22436","2771",0,"6103","20836","1600","8531"
"127",Congosto,5230.36684162,41.3405529621053,"16414","2611",0,"2528","14553","1861","7094"
"909",Cruz del Rayo,9995.23436909,45.6969810221429,"21347","2385",0,"4928","18287","3060","8828"
"106",Cuatro Caminos,14341.11570719,44.5396313536364,"29407","3216",0,"5874","23463","5944","12785"
"1019",Cuatro Vientos,373.78784991,49.153958338,"2818","308",0,"1004","2727","91","946"
"1005",Cuzco,5619.86403997,46.6817345657143,"16227","1993",0,"4128","14721","1506","6358"
"302",Delicias,17252.79779009,45.4803087423529,"33330","3501",0,"6782","28435","4895","14502"
"410",Diego de León,13895.32403654,45.6624737443243,"29840","3124",0,"6848","25324","4516","12500"
"905",Duque de Pastrana,1378.81470902,42.9567280036364,"7116","1281",0,"1337","6428","688","2828"
"551",El Capricho,1938.7846173,44.8687092666667,"7959","1260",0,"2040","7433","526","2930"
"507",El Carmen,13127.15036638,47.2488302564706,"24647","2703",0,"5898","20411","4236","10091"
"304",Embajadores,25076.56456087,44.90208645,"35562","3239",0,"6558","28621","6941","16208"
"528",Empalme,5051.31919482,48.84471181,"15289","1711",0,"4371","12976","2313","5790"
"416",Esperanza,3468.90517121,47.2996492217647,"10710","1369",0,"3075","9392","1318","3938"
"115",Estación del Arte,9038.20718663,45.661005258,"13931","1124",0,"2848","11140","2791","6262"
"751",Estadio Metropolitano,520.97461906,39.926291814,"3307","646",0,"278","3126","181","1499"
"104",Estrecho,18006.78972873,44.3817398597436,"34041","3868",0,"6456","26167","7874","14923"
"915",Estrella,6321.90337732,48.36694152375,"16534","1989",0,"4901","15408","1126","6064"
"526",Eugenia de Montijo,5584.23329999,49.1616861652381,"13315","1378",0,"4170","11526","1789","4884"
"805",Feria de Madrid,4.19463139,35.29583333,"328","84",0,"16","314","14","143"
"716",Francos Rodríguez,7872.48517369,45.1490306713043,"18261","2104",0,"4112","15355","2906","7580"
"1001",Fuencarral,3058.07994619,43.165323438125,"11890","1641",0,"2205","9866","2024","5059"
"704",García Noblejas,9143.04617475,44.7190581225926,"20561","2668",0,"4234","16477","4084","8593"
"203",Goya,17827.93418418,46.44708982475,"31597","3468",0,"7551","26878","4719","12947"
"111",Gran Vía,7140.17914684,43.7170747404348,"19371","1272",0,"2814","13988","5383","9617"
"711",Gregorio Marañón,4659.72842886,45.4280843410526,"11989","1483",0,"2676","10433","1556","4924"
"620",Guzmán el Bueno,5000.8717964,46.7809279026316,"13150","1491",0,"3433","11934","1216","5176"
"901",Herrera Oria,5236.39675548,49.057251105,"13572","1676",0,"4509","13015","557","4646"
"421",Hortaleza,5564.27861254,46.8026225578261,"17342","2119",0,"4043","15013","2329","7033"
"352",Hospital 12 de Octubre,3883.38980585,42.4365775418182,"8758","1395",0,"1441","6814","1944","3726"
"913",Ibiza,12609.04099528,46.6311902196296,"21545","2640",0,"5251","18756","2789","8588"
"108",Iglesia,15280.39099497,45.5507232407895,"29977","3190",0,"6634","25760","4217","12680"
"714",Islas Filipinas,12864.24991134,47.3967882240625,"25372","2659",0,"6659","22941","2431","10097"
"252",La Almudena,5204.8324753,45.3487842121429,"11712","1616",0,"2386","9673","2039","4850"
"251",La Elipa,14598.10421466,46.1801473777143,"25512","2947",0,"5600","20933","4579","10672"
"128",La Gavia,1537.9410624,37.41623929,"7980","2013",0,"507","7425","555","3434"
"517",La Latina,14268.90942262,43.62640526625,"30543","2487",0,"4553","23352","7191","14790"
"1106",La Peseta,2507.45579121,37.1942918930769,"12964","3184",0,"1022","11785","1179","5511"
"721",Lacoma,6386.4540211,45.9170685,"15731","1981",0,"3438","14565","1166","6484"
"1013",Lago,456.96560427,47.0654570633333,"871","87",0,"201","750","121","365"
"601",Laguna,4608.98644488,44.3787270211111,"12572","1708",0,"2332","10027","2545","5366"
"701",Las Musas,4911.49098624,44.9055551028571,"12070","1592",0,"2651","10702","1368","4921"
"255",Las Rosas,1859.05380943,39.862132934,"12289","2262",0,"1122","11772","517","5606"
"129",Las Suertes,1132.89719151,32.7148736111111,"9699","2309",0,"397","8513","1186","4401"
"1053",Las Tablas,1254.95877625,31.10709508,"9030","3147",0,"322","8217","813","3500"
"305",Lavapiés,20998.95255223,43.3435344169231,"37671","3165",0,"5294","26787","10884","18387"
"301",Legazpi,10790.59799559,42.6183523980769,"20554","3001",0,"3135","17806","2748","9071"
"409",Lista,18512.23573548,46.0949492667442,"32554","3422",0,"7679","27445","5109","13492"
"628",Lucero,10638.68795921,44.7834922937931,"24184","3047",0,"5037","18890","5294","10126"
"422",Manoteras,3456.04537812,45.6125255544444,"14865","1914",0,"3053","13472","1393","6227"
"202",Manuel Becerra,17698.2107921,46.2829603468293,"32824","3485",0,"7676","28127","4697","13625"
"418",Mar de Cristal,5751.79093272,47.6854895872727,"15623","1565",0,"3934","14376","1247","6368"
"521",Marqués de Vadillo,8534.7702157,45.6734399732,"18197","2050",0,"4153","15245","2952","7544"
"117",Menéndez Pelayo,15766.21720969,47.2529828866667,"27813","2920",0,"6870","25221","2592","11341"
"124",Miguel Hernández,9909.35796626,44.4218676128571,"22437","2833",0,"4558","18936","3501","9466"
"951",Mirasierra,1304.3913793,42.0621141833333,"7183","1206",0,"1310","6877","306","2935"
"311",Moncloa,11299.77039118,46.8145164157143,"20096","1943",0,"5064","17575","2521","8234"
"1052",Montecarmelo,1189.22171519,34.5391893608333,"8575","2746",0,"449","8095","480","3387"
"609",Méndez Álvaro,1755.1568762,40.379383664,"5650","1081",0,"601","5144","506","2495"
"211",Noviciado,12482.61930747,43.9160652029032,"28572","2110",0,"4398","21913","6659","13884"
"120",Nueva Numancia,16283.59279936,41.4516206159459,"34173","4714",0,"4731","23120","11053","15562"
"618",Nuevos Ministerios,3668.84670456,45.8412990992857,"10407","1230",0,"2507","9301","1106","4197"
"510",Núñez de Balboa,7873.24222364,45.2356799446154,"19444","2247",0,"4586","16175","3269","7931"
"604",Opañel,10219.34868577,43.9425192178571,"22473","2807",0,"4716","17566","4907","9406"
"523",Oporto,12059.15632949,44.3063198716129,"27221","3487",0,"4831","20070","7151","11894"
"613",O´Donnell,12434.32530505,46.8952275703333,"21788","2462",0,"5345","19097","2691","8793"
"952",Paco de Lucía,1346.20937342,36.5928001777778,"7323","1772",0,"1004","6932","391","2860"
