cod_est,nombre_est,Densidad,Edad_Promedio,POB_TOT,POB_men15,POB_16_64,POB_mas64,POB_esp,POB_ext,POB_ACT
"1102",Abrantes,10935.700932,43.25702628,"23610","3379","15862","4369","16984","6626","10029"
"519",Acacias,15520.460222,45.7205538125,"29707","2884","20619","6204","26060","3647","13035"
"808",Aeropuerto T-4,0.647403,41.968196,"50","7","36","7","39","11","22"
"806",Aeropuerto T1-T2-T3,134.756952,43.2160135,"72","9","52","11","57","15","32"
"552",Alameda de Osuna,2381.764502,46.3399587692308,"11541","1755","6517","3269","10794","747","4118"
"413",Alfonso XIII,9666.398834,46.168376125,"21525","2685","13501","5339","19465","2060","8535"
"351",Almendrales,6648.331537,41.3253718,"18940","2872","13194","2874","13988","4952","8339"
"712",Alonso Cano,15052.764903,45.7867713783784,"27865","3028","18628","6209","24062","3803","11776"
"404",Alonso Martínez,6908.382699,45.1744755217391,"17192","1605","12090","3497","14211","2981","7641"
"253",Alsacia,3318.935886,46.61985525,"11456","1469","7544","2443","10441","1015","4769"
"627",Alto de Extremadura,8529.316469,44.8519070833333,"16829","1939","11468","3422","13121","3708","7248"
"123",Alto del Arenal,8437.147294,45.05346916,"22881","2967","15196","4718","18802","4079","9606"
"527",Aluche,7443.9606,48.3892108695652,"13238","1416","8285","3537","10682","2556","5233"
"105",Alvarado,17954.675009,44.0872734615385,"35444","3922","25096","6426","26729","8715","15870"
"718",Antonio Machado,6797.648338,46.2861578695652,"18253","2431","11264","4558","16591","1662","7119"
"114",Antón Martín,16926.129055,43.2944008918919,"29941","2224","23670","4047","20599","9342","14963"
"608",Arganzuela-Planetario,5267.97914,40.8999180625,"15313","2865","10691","1757","14267","1046","6759"
"310",Argüelles,14353.418904,46.6914198611111,"27676","2667","18223","6786","23666","4010","11516"
"722",Arroyofresno,708.94831,39.473189,"4421","896","2990","535","4248","173","1890"
"917",Artilleros,8857.684932,48.9513952666667,"21417","2422","12939","6056","18754","2663","8172"
"415",Arturo Soria,1871.030559,45.7626953571429,"9780","1481","5977","2322","8598","1182","3775"
"705",Ascao,15799.727446,45.1941131351351,"32969","3955","22212","6802","25449","7520","14039"
"116",Atocha-Renfe,6206.093425,46.4344192777778,"10098","944","7067","2087","8319","1779","4465"
"411",Avenida de América,14452.080187,45.4232928108108,"25476","2768","17035","5673","21609","3867","10767"
"254",Avenida de Guadalajara,4148.232436,42.8353791111111,"15425","2228","10883","2314","14253","1172","6880"
"414",Avenida de La Paz,2542.897172,45.9195910625,"10979","1635","6865","2479","10018","961","4339"
"720",Avenida de la Ilustración,12734.198049,47.9859175,"23553","2780","14294","6479","21061","2492","9031"
"1018",Aviación Española,3796.393688,47.8441322666667,"8183","959","5062","2162","6720","1463","3198"
"152",Bambú,1405.858671,43.8244691111111,"5719","877","3625","1217","5397","322","2290"
"206",Banco de España,3546.93386,45.0185735263158,"9580","814","7218","1548","7427","2153","4560"
"807",Barajas,1492.98501,42.0782084545455,"7330","1064","5151","1115","6258","1072","3255"
"707",Barrio de la Concepción,15168.580909,45.8411208648649,"32087","3557","21745","6785","24845","7242","13746"
"902",Barrio del Pilar,12871.574035,49.1147596774194,"22329","2203","12754","7372","20124","2205","8056"
"1014",Batán,4000.598986,46.9724284,"10071","1161","6423","2487","8239","1832","4060"
"1002",Begoña,1531.382181,46.2514797272727,"5181","566","3430","1185","4247","934","2166"
"109",Bilbao,15303.757696,45.0662960789474,"28932","2475","20851","5606","23504","5428","13178"
"122",Buenos Aires,5948.589171,44.9752654761905,"14127","1850","9422","2855","11251","2876","5955"
"307",Callao,8829.629534,43.7854542962963,"21638","1447","16901","3290","15409","6229","10684"
"529",Campamento,6637.096449,47.16541156,"18723","2308","11734","4681","14666","4057","7414"
"214",Canal,15780.868873,45.8716150277778,"27664","2927","18519","6218","24223","3441","11706"
"417",Canillas,5805.139657,47.444392173913,"17373","1930","10762","4681","16066","1307","6801"
"501",Canillejas,3218.113218,44.9758262,"9297","1168","6010","2119","7810","1487","3797"
"525",Carabanchel,11095.73923,46.0088756071429,"24538","2990","16463","5085","17881","6657","10409"
"1105",Carabanchel Alto,3725.560681,45.1682995333333,"13433","1803","8850","2780","10295","3138","5594"
"602",Carpetana,12333.814981,44.48532140625,"28395","3791","19070","5534","20461","7934","12055"
"709",Cartagena,11749.236324,45.6693858571428,"26460","2772","17792","5896","22673","3787","11248"
"530",Casa de Campo,1096.658416,47.5128991428571,"4316","485","2787","1044","3724","592","1760"
"151",Chamartín,2660.234619,45.8540997142857,"7313","977","4655","1681","6535","778","2939"
"513",Chueca,7934.33279,43.6910089166667,"20877","1504","16355","3018","15430","5447","10342"
"504",Ciudad Lineal,8787.633342,45.8042542222222,"18803","2025","12634","4144","14988","3815","7985"
"622",Ciudad Universitaria,1.75984,44.234317,"137","9","98","30","104","33","62"
"354",Ciudad de los Ángeles,7435.848269,45.7190354166667,"16757","1922","11279","3556","13802","2955","7126"
"802",Colombia,6726.495898,45.3702959583333,"20205","2869","12485","4851","18410","1795","7889"
"1016",Colonia Jardín,3117.307577,45.324228,"12838","1660","8543","2635","9470","3368","5402"
"405",Colón,3368.733621,45.7681467222222,"9400","983","6412","2005","7695","1705","4051"
"908",Concha Espina,5689.127968,46.0516254,"15131","2012","9474","3645","13660","1471","5988"
