cod_est,nombre_est,Densidad,Edad_Promedio,POB_TOT,POB_men15,POB_16_64,POB_mas64,POB_esp,POB_ext,POB_ACT
"1102",Abrantes,10648.431454,43.60682616,"23059","3204","15551","4304","16733","6326","9830"
"519",Acacias,15163.102671,46.1376666875,"29254","2797","20118","6339","25726","3528","12717"
"808",Aeropuerto T-4,0.638803,42.033509,"50","7","36","7","39","11","22"
"806",Aeropuerto T1-T2-T3,134.38905,43.2996625,"71","9","51","11","56","15","32"
"552",Alameda de Osuna,2361.339745,46.8088336153846,"11500","1707","6484","3309","10741","759","4099"
"413",Alfonso XIII,9498.018737,46.502786375,"21209","2594","13218","5397","19172","2037","8358"
"351",Almendrales,6563.026693,41.63444705,"18964","2895","13161","2908","14191","4773","8319"
"712",Alonso Cano,14805.91169,45.952284027027,"27377","2871","18316","6190","23535","3842","11576"
"404",Alonso Martínez,6861.065752,45.2105289565217,"17113","1557","12054","3502","14031","3082","7618"
"253",Alsacia,3284.200606,46.8930503125,"11715","1501","7764","2450","10699","1016","4905"
"627",Alto de Extremadura,8455.633598,44.9962512916667,"16624","1895","11324","3405","12957","3667","7156"
"123",Alto del Arenal,8282.321884,45.40933252,"22452","2867","14904","4681","18506","3946","9422"
"527",Aluche,7314.524805,48.7105823478261,"13036","1370","8174","3492","10612","2424","5162"
"105",Alvarado,17707.044689,44.3407164615385,"34976","3799","24695","6482","26321","8655","15613"
"718",Antonio Machado,6697.287905,46.607533826087,"18121","2410","11091","4620","16548","1573","7008"
"114",Antón Martín,16684.384999,43.2902823243243,"29678","2181","23449","4048","20182","9496","14824"
"608",Arganzuela-Planetario,5261.485705,41.2611393125,"15450","2798","10809","1843","14362","1088","6835"
"310",Argüelles,14164.048425,46.7870908333333,"27395","2619","18020","6756","23406","3989","11392"
"722",Arroyofresno,710.613446,39.8919238333333,"4761","1042","3117","602","4564","197","1970"
"917",Artilleros,8722.052955,49.1519808666667,"21109","2341","12801","5967","18480","2629","8087"
"415",Arturo Soria,1847.379968,46.2609063571429,"9678","1412","5893","2373","8528","1150","3723"
"705",Ascao,15534.545187,45.4201594594595,"32517","3868","21883","6766","25150","7367","13831"
"116",Atocha-Renfe,6118.375448,46.4632323333333,"10038","936","7019","2083","8215","1823","4435"
"411",Avenida de América,14207.309994,45.6544721621621,"25163","2621","16861","5681","21030","4133","10657"
"254",Avenida de Guadalajara,4101.909225,43.3328529444444,"15230","2022","10789","2419","14094","1136","6822"
"414",Avenida de La Paz,2511.193065,46.332080875,"10862","1581","6747","2534","9913","949","4263"
"720",Avenida de la Ilustración,12551.769682,48.38669409375,"23194","2692","13998","6504","20852","2342","8840"
"1018",Aviación Española,3728.179322,48.3244138666667,"8049","932","4965","2152","6660","1389","3135"
"152",Bambú,1406.543174,44.0992528888889,"5724","878","3590","1256","5367","357","2268"
"206",Banco de España,3547.179707,44.9824527368421,"9661","779","7320","1562","7319","2342","4624"
"807",Barajas,1461.84877,42.7608068181818,"7135","992","4999","1144","6112","1023","3159"
"707",Barrio de la Concepción,14845.393017,46.0455837837838,"31504","3484","21315","6705","24465","7039","13472"
"902",Barrio del Pilar,12696.700536,49.5273286774193,"22010","2166","12440","7404","19846","2164","7861"
"1014",Batán,3937.398594,47.3096581333333,"9919","1136","6348","2435","8188","1731","4013"
"1002",Begoña,1555.293773,46.1862296363636,"5084","550","3372","1162","4155","929","2129"
"109",Bilbao,15174.066749,45.1341016842105,"28726","2437","20686","5603","23077","5649","13076"
"122",Buenos Aires,5800.140158,45.3641663333333,"13815","1788","9188","2839","11082","2733","5805"
"307",Callao,8764.396934,43.8475005185185,"21480","1376","16812","3292","15089","6391","10630"
"529",Campamento,6531.525376,47.45334888,"18529","2252","11643","4634","14542","3987","7357"
"214",Canal,15491.022352,46.0329540555556,"27098","2794","18148","6156","23654","3444","11470"
"417",Canillas,5722.473163,47.877317,"17146","1896","10482","4768","15796","1350","6625"
"501",Canillejas,3194.821528,45.2474771333333,"9290","1193","5928","2169","7800","1490","3744"
"525",Carabanchel,10915.852562,46.2761588571429,"24210","2899","16273","5038","17694","6516","10287"
"1105",Carabanchel Alto,3657.017016,45.5683674,"13191","1705","8720","2766","10227","2964","5512"
"602",Carpetana,12157.266081,44.5862999375,"28003","3699","18855","5449","20296","7707","11919"
