cod_est;nom_est;edad_media;hog_tot;pob_tot;pers_hog;renta_pers;renta_hog;%pob_ext;%pob_15;%pob_1664;%pob_65;densidad;%hog_1;%hog_2;%hog_3;%hog_4;%hog_5;%hog_6;%hog_7;%hog_8;%hog_9;%hog_10;%hog_11;%hog_12;%hog_13;%hog_14;%hog_15;%hog_16;%hog_17;%hog_18;%hog_19;%hog_20;%hog_21;%hog_22;Eventodromo;conducta;por_pobact;dem_mens_promedio_24_miles;nu_lineas;nu_lin_cerc;nu_businter;in_bus_lr;in_renfe_lr;in_oficinattp;in_eventos;in_parkdisgra;in_parkdispag
115;Estación del Arte;45,90;6615;12711;1,9;21281,72;45182,56;0,2112;0,0943;0,6632;0,2153;168,25;0,1357;0,1427;0,0930;0,0416;0,0125;0,0029;0,1426;0,1145;0,0386;0,0260;0,0088;0,0364;0,0092;0,0054;0,0697;0,0251;0,0034;0,0010;0,0282;0,0341;0,0003;0,0012;;finvol;0,4534;239,84;1;0;0;0;0;0;0;0;0
116;Atocha-Renfe;45,58;4674;9680;2,1;20235,50;45274,07;0,1773;0,1133;0,6658;0,2084;126,80;0,1183;0,1219;0,0921;0,0350;0,0161;0,0045;0,1483;0,1152;0,0483;0,0365;0,0110;0,0428;0,0116;0,0064;0,0731;0,0327;0,0048;0,0013;0,0290;0,0373;0,0004;0,0007;;finvol;0,4439;728,56;1;9;0;0;1;0;0;0;1
117;Menéndez Pelayo;48,01;12126;26637;2,2;22875,37;51654,28;0,1207;0,1107;0,6481;0,2226;345,25;0,1062;0,0929;0,1049;0,0312;0,0162;0,0051;0,1453;0,1332;0,0491;0,0411;0,0092;0,0526;0,0125;0,0051;0,0706;0,0427;0,0039;0,0011;0,0280;0,0298;0,0003;0,0003;;labest;0,4048;177,92;1;0;0;0;0;0;0;0;0
118;Pacífico;46,73;11843;26276;2,2;21994,33;50217,08;0,1034;0,1198;0,6533;0,2171;342,99;0,1046;0,0933;0,1003;0,0272;0,0170;0,0047;0,1469;0,1327;0,0560;0,0463;0,0091;0,0562;0,0157;0,0054;0,0702;0,0461;0,0042;0,0018;0,0262;0,0257;0,0004;0,0003;;labest;0,4113;461,78;2;0;0;0;0;1;0;0;0
119;Puente de Vallecas;42,64;11613;26870;2,3;15441,25;37219,73;0,2433;0,1246;0,6997;0,1539;359,60;0,1180;0,1231;0,0749;0,0264;0,0204;0,0039;0,1646;0,0902;0,0514;0,0362;0,0082;0,0473;0,0157;0,0059;0,0679;0,0287;0,0061;0,0024;0,0357;0,0499;0,0007;0,0007;;finest;0,4546;376,47;1;0;0;0;0;0;0;0;0
120;Nueva Numancia;41,00;13303;33449;2,5;10482,10;27903,32;0,3716;0,1259;0,7233;0,1288;455,43;0,1037;0,1143;0,0823;0,0276;0,0207;0,0026;0,1447;0,0823;0,0430;0,0255;0,0075;0,0489;0,0187;0,0073;0,0744;0,0263;0,0069;0,0046;0,0470;0,0875;0,0011;0,0009;VALL;finvol;0,4671;414,48;1;0;0;0;0;0;1;0;0
121;Portazgo;42,80;8670;22264;2,6;11342,34;30375,63;0,2968;0,1227;0,6768;0,1836;298,80;0,0805;0,0852;0,1079;0,0317;0,0200;0,0031;0,1277;0,1285;0,0388;0,0257;0,0068;0,0542;0,0173;0,0079;0,0779;0,0311;0,0078;0,0054;0,0423;0,0812;0,0012;0,0010;VALL;evento;0,4443;233,40;1;0;0;0;0;0;1;0;0
122;Buenos Aires;44,51;5207;12909;2,5;11966,81;30809,13;0,2167;0,1161;0,6341;0,2007;170,86;0,0757;0,0755;0,1097;0,0329;0,0188;0,0027;0,1220;0,1377;0,0431;0,0268;0,0065;0,0575;0,0145;0,0072;0,0770;0,0290;0,0055;0,0036;0,0392;0,0647;0,0008;0,0007;VALL;finest;0,4300;161,86;1;0;0;0;0;0;1;0;0
123;Alto del Arenal;44,73;8898;22558;2,5;11652,77;30200,60;0,2105;0,1267;0,6594;0,2022;298,97;0,0720;0,0759;0,1095;0,0325;0,0210;0,0025;0,1195;0,1412;0,0473;0,0335;0,0077;0,0652;0,0174;0,0069;0,0899;0,0334;0,0064;0,0031;0,0453;0,0567;0,0009;0,0005;;finest;0,4246;193,37;1;0;0;0;0;0;0;0;0
124;Miguel Hernández;45,13;8509;22014;2,6;11837,35;31224,39;0,1808;0,1181;0,6637;0,2024;289,10;0,0661;0,0791;0,0935;0,0309;0,0181;0,0024;0,1232;0,1430;0,0464;0,0369;0,0064;0,0773;0,0193;0,0060;0,0857;0,0432;0,0072;0,0033;0,0427;0,0526;0,0005;0,0004;;finest;0,4244;213,97;1;0;0;0;0;0;0;0;1
