Fecha,Temperatura Máxima (°C),Temperatura Media (°C),Temperatura Mínima (°C),Precipitaciones (mm),Velocidad Media Viento (km/h),Humedad Relativa Media (%)
2015-04-13,"23,3","16,9","10,5","0,0","5,6",44
2015-04-14,"24,7","15,6","6,4",Ip,"5,6",40
2015-04-15,"19,2","15,0","10,8","19,4","2,5",48
2015-04-16,"18,0","14,5","11,0","0,0","5,3",72
2015-04-17,"20,4","15,6","10,8","0,0","3,6",60
2015-04-18,"19,2","13,3","7,4","0,0","6,1",54
2015-04-19,"19,0","11,2","3,5","0,0","1,7",51
2015-04-20,"22,2","13,1","4,0","0,0","1,7",47
2015-04-21,"23,4","16,1","8,8","0,0","4,4",47
2015-04-22,"22,7","15,2","7,6","0,0","3,9",49
2015-04-23,"24,5","15,6","6,8","0,0","3,9",44
2015-04-24,"23,0","15,5","8,0","0,0","3,9",49
2015-04-25,"20,2","15,6","11,1","5,5","5,8",60
2015-04-26,"16,4","13,2","10,0","12,4","3,3",90
2015-04-27,"17,9","13,4","8,8","0,0","4,4",53
2015-04-28,"20,3","13,2","6,0","0,0","2,5",52
2015-04-29,"21,9","16,4","11,0","0,0","3,6",49
2015-04-30,"23,8","15,4","7,0","0,0","3,3",51
2015-05-01,"24,2","18,2","12,3","0,0","3,9",55
2015-05-02,"27,2","20,5","13,8","0,0","5,0",62
2015-05-03,"22,7","19,7","16,7",Ip,"4,2",49
2015-05-04,"27,7","21,3","14,9","0,0","5,3",45
2015-05-05,"21,2","15,8","10,5","0,0","6,4",50
2015-05-06,"23,2","14,7","6,2","0,0","1,9",38
2015-05-07,"29,0","17,8","6,7","0,0","2,5",36
2015-05-08,"25,3","19,6","13,9","0,0","5,3",50
2015-05-09,"28,7","19,4","10,2","0,0","1,9",43
2015-05-10,"31,5","22,4","13,3","0,0","3,6",33
2015-05-11,"33,1","22,7","12,3","0,0","2,2",31
2015-05-12,"33,8","22,9","12,0","0,0","3,1",29
2015-05-13,"36,5","25,6","14,8","0,0","3,6",28
2015-05-14,"32,8","24,6","16,4","0,0","5,6",25
2015-05-15,"22,8","17,0","11,1","0,0","6,1",34
2015-05-16,"28,1","18,6","9,0","0,0","4,4",31
2015-05-17,"30,9","21,2","11,4","0,0","3,1",29
2015-05-18,"31,6","21,8","11,9",Ip,"3,1",31
2015-05-19,"22,6","16,0","9,3","0,0","6,4",48
2015-05-20,"21,2","13,4","5,6","0,0","5,3",35
2015-05-21,"22,8","15,3","7,8","0,0","4,7",33
2015-05-22,"22,8","14,5","6,2","0,0","5,8",31
2015-05-23,"23,5","16,2","9,0","0,0","4,7",38
2015-05-24,"25,6","18,0","10,5","0,0","3,1",38
2015-05-25,"27,3","20,2","13,0","0,0","1,9",38
2015-05-26,"28,8","20,2","11,6","0,0","3,9",30
2015-05-27,"29,5","21,0","12,5","0,0","3,1",28
2015-05-28,"31,6","22,0","12,4","0,0","2,8",30
2015-05-29,"30,5","22,6","14,6","0,0","4,4",33
2015-05-30,"29,6","20,9","12,2","0,0","2,2",38
2015-05-31,"30,9","22,0","13,0","0,0","2,2",33
2015-06-01,"31,3","22,4","13,6","0,0","3,1",30
2015-06-02,"32,6","24,3","16,0","0,0","2,2",31
2015-06-03,"34,4","25,6","16,8","0,0","3,3",32
2015-06-04,"32,2","24,3","16,4","0,0","2,5",24
2015-06-05,"32,6","23,6","14,6","0,0","2,5",23
2015-06-06,"34,0","24,4","14,8","0,0","1,7",24
2015-06-07,"34,1","26,4","18,6","0,0","2,8",23
2015-06-08,"33,2","24,2","15,3","0,0","1,1",22
2015-06-09,"33,2","25,4","17,6","0,9","5,3",32
2015-06-10,"27,7","22,3","16,9","4,4","4,4",55
2015-06-11,"23,8","18,5","13,2","24,7","3,3",67
2015-06-12,"24,2","19,6","14,9","0,0","5,3",52
2015-06-13,"23,7","19,2","14,8","0,0","5,0",42
2015-06-14,"22,5","18,0","13,6","5,6","5,0",44
2015-06-15,"21,3","16,8","12,2","8,2","3,1",74
2015-06-16,"26,5","18,9","11,3","0,0","2,5",47
2015-06-17,"27,1","20,2","13,4","0,0","4,2",41
2015-06-18,"30,4","22,3","14,2","0,0","2,2",34
2015-06-19,"33,2","25,0","16,7","0,0","3,6",27
2015-06-20,"34,3","24,5","14,7","0,0","2,5",20
2015-06-21,"35,7","26,0","16,3",Ip,"2,8",26
2015-06-22,"34,5","27,8","21,1","0,0","4,4",30
2015-06-23,"32,1","25,0","17,9","5,8","3,9",37
2015-06-24,"31,5","23,5","15,5","0,0","2,8",36
2015-06-25,"33,1","24,8","16,4","0,0","2,2",32
2015-06-26,"35,7","26,4","17,1","0,0","2,2",27
2015-06-27,"37,7","27,7","17,7","0,0","3,3",23
2015-06-28,"39,3","29,3","19,3","0,0","3,1",21
2015-06-29,"40,0","30,8","21,7","0,0","1,1",23
2015-06-30,"39,4","30,4","21,4","0,0","5,0",23
2015-07-01,"37,0","29,5","22,0","0,0","4,2",21
2015-07-02,"34,0","27,9","21,8","0,0","3,1",28
2015-07-03,"37,2","29,4","21,6","0,0","4,7",33
2015-07-04,"37,3","29,8","22,2","0,0","1,7",28
2015-07-05,"37,8","29,3","20,8","0,0","3,1",24
2015-07-06,"40,5","30,7","20,9","0,0","4,4",21
2015-07-07,"39,1","30,1","21,1","0,0","5,6",21
2015-07-08,"39,4","29,8","20,2","0,0","4,2",17
2015-07-09,"39,2","29,3","19,4","0,0","3,6",20
2015-07-10,"37,5","28,0","18,6","0,0","5,3",20
2015-07-11,"37,2","28,0","18,9","0,0","3,3",22
2015-07-12,"37,7","28,8","19,9","0,0","2,2",25
2015-07-13,"38,8","30,0","21,2","0,0","1,4",23
2015-07-14,"39,5","30,9","22,3","0,0","2,5",19
2015-07-15,"39,7","31,0","22,2","0,0","2,2",20
2015-07-16,"39,0","29,8","20,7","0,0","3,3",22
2015-07-17,"37,1","30,0","22,9","0,3","3,6",25
2015-07-18,"34,0","27,8","21,7","0,0","5,0",34
2015-07-19,"34,7","27,9","21,1","0,0","3,1",30
2015-07-20,"36,8","28,8","20,9","0,0","3,9",29
2015-07-21,"37,5","29,4","21,2","0,0","4,7",28
2015-07-22,"35,0","28,9","22,8",Ip,"2,5",35
2015-07-23,"37,2","28,7","20,2","0,0","3,3",35
2015-07-24,"34,8","26,7","18,6","0,0","4,7",27
2015-07-25,"34,2","26,9","19,6","0,0","2,8",36
2015-07-26,"36,8","28,0","19,1","0,0","3,6",27
2015-07-27,"38,2","30,4","22,6","0,0","4,2",26
2015-07-28,"38,0","28,4","18,8","0,0","4,2",25
2015-07-29,"37,4","28,6","19,8","0,0","4,7",22
2015-07-30,"35,3","28,2","21,2","0,0","4,2",36
2015-07-31,"31,9","25,4","18,9","0,0","4,7",39
2015-08-01,"32,3","24,6","17,0","0,0","2,2",38
2015-08-02,"35,5","28,2","20,8","0,0","3,1",38
2015-08-03,"37,3","28,8","20,4","0,0","5,0",34
2015-08-04,"35,5","29,6","23,7","0,0","3,6",28
2015-08-05,"36,8","27,4","17,9","0,0","4,2",22
2015-08-06,"38,3","27,0","15,8","0,0","3,9",17
2015-08-07,"36,6","27,2","17,9",Ip,"5,0",20
2015-08-08,"34,3","26,8","19,3","0,0","4,4",34
2015-08-09,"34,0","24,8","15,6","0,0","2,8",31
2015-08-10,"36,8","27,0","17,1","0,0","2,2",27
2015-08-11,"34,3","27,6","21,0","0,0","4,7",30
2015-08-12,"34,1","26,0","18,0","0,0","3,3",23
2015-08-13,"27,8","23,5","19,2","0,0","6,4",34
2015-08-14,"27,6","21,4","15,2","0,0","3,9",37
2015-08-15,"27,5","23,0","18,6","0,0","2,8",34
2015-08-16,"30,6","23,0","15,4","0,0","2,5",36
2015-08-17,"32,0","26,2","20,3","0,0","3,3",37
2015-08-18,"32,5","25,4","18,3","0,0","3,1",36
2015-08-19,"32,9","25,6","18,4","0,0","2,2",36
2015-08-20,"35,2","27,2","19,1","0,0","2,2",29
2015-08-21,"34,9","27,8","20,8","2,0","2,5",38
2015-08-22,"32,4","25,2","17,9","0,0","4,4",48
2015-08-23,"26,5","22,8","19,0",Ip,"7,8",41
2015-08-24,"25,0","20,1","15,2","0,0","4,4",36
2015-08-25,"30,2","21,0","11,9","0,0","2,2",34
2015-08-26,"33,1","24,4","15,8","0,0","4,4",34
2015-08-27,"32,6","23,9","15,2","0,0","5,3",32
2015-08-28,"34,7","24,9","15,1","0,0","2,8",30
2015-08-29,"36,2","27,9","19,6","0,0","2,8",32
2015-08-30,"35,9","28,1","20,3","9,2","3,3",56
2015-08-31,"29,0","23,2","17,5","0,0","3,3",63
2015-09-01,"30,5","23,1","15,7","0,0","2,8",47
2015-09-02,"30,7","24,2","17,8",Ip,"3,9",45
2015-09-03,"27,5","22,3","17,1","0,0","3,9",34
2015-09-04,"27,2","21,6","15,9","0,0","1,9",43
2015-09-05,"27,6","20,2","12,7","0,0","2,5",40
2015-09-06,"28,2","21,8","15,4","0,0","1,7",41
2015-09-07,"27,4","21,6","15,8","0,0","3,6",41
2015-09-08,"29,3","20,9","12,5","0,0","3,1",39
2015-09-09,"29,9","20,6","11,3",Ip,"4,4",33
2015-09-10,"28,6","22,2","15,8","0,0","4,2",37
2015-09-11,"30,6","22,0","13,3","0,1","3,3",36
2015-09-12,"28,6","23,5","18,4","0,0","4,2",35
2015-09-13,"25,6","21,6","17,7","0,0","8,1",33
